Journal,Issn,Publisher,Society,Author guideline url,Data citation score,Data citation justification,Data transparency score,Data transparency justification,Analysis code transparency score,Analysis code transparency justification,Materials transparency score,Materials transparency justification,Design & analysis reporting guidelines score,Design & analysis reporting guidelines justification,Study preregistration score,Study preregistration justification,Analysis plan preregistration score,Analysis plan preregistration justification,Replication score,Replication justification,Registered reports & publication bias score,Registered reports & publication bias justification,Open science badges score,Open science badges justification,Total
Journal of Neuroscience Research,1097-4547,Wiley,,https://onlinelibrary.wiley.com/page/journal/10974547/homepage/forauthors.html,2,"",2,Requires availability statements and requires data sharing in most cases.,0,Code availability is strongly encouraged. ,2,Materials transparency is required. ,2,"",0,"",0,"",0,"",3,"",2,"",13
Journal of Neurochemistry,1471-4159,Wiley,,https://onlinelibrary.wiley.com/page/journal/14714159/homepage/forauthors.html,0,"",1,"",0,"",1,"",1,"",1,"Encourages preregistration and, if preregistered, requires a link be provided to it.",1,"",1,"",0,"",2,"",8
Journal of Neuroendocrinology,1365-2826,Wiley,,https://onlinelibrary.wiley.com/page/journal/13652826/homepage/forauthors.html,2,"",1,"",0,"",0,"",1,"",0,"",0,"",0,"",0,"",2,"",6
Journal of International Crisis and Risk Communication Research,2576-0025,,,https://stars.library.ucf.edu/jicrcr/,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",2,"",2
Journal of Counseling Psychology,1939-2168,American Psychological Association,,https://www.apa.org/pubs/journals/cou/?tab=4,0,"",0,"",0,"",0,"",0,"",0,"",0,"",1,"",0,"",0,"",1
Journal of Cognition and Development,1532-7647,Taylor and Francis,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=hjcd20,1,"",0,"Encourages data sharing, but does not require data availability statements.",0,"",0,"",0,"",0,"",0,"",3,"",3,"",2,"",9
Journal of Behavioral Public Administration,2576-6465,,,https://journal-bpa.org/index.php/jbpa/transparency,0,"",0,"Encourages data sharing, but does not require data availability statements.",0,"",0,"",0,"",0,"",0,"",0,"",0,"",2,"",2
Internet Archaeology,1363-5387,Council for British Archaeology,,https://intarch.ac.uk/authors/,1,"",1,"",1,"",1,"",1,"",0,"",0,"",1,Encourages re-analysis/re-interpretation studies.,0,"",2,"",8
International Journal of Primatology,1573-8604,Springer Nature,,https://www.springer.com/journal/10764/submission-guidelines,1,"",1,"",0,"",0,"",1,"",0,"",0,"",1,"",0,"",2,"",6
International Journal for the Psychology of Religion,1532-7582,Taylor and Francis,,https://www.tandfonline.com/toc/hjpr20/current,2,"""Authors are required to cite any data sets referenced in the article""",1,"""Authors are required to... provide a Data Availability Statement. """,1,"""The policy of The International Journal for the Psychology of Religion is to publish papers where authors indicate whether the data, methods used in the analysis, and materials used to conduct the research will be made available """,1,"""The policy of The International Journal for the Psychology of Religion is to publish papers where authors indicate whether the data, methods used in the analysis, and materials used to conduct the research will be made available """,1,"""Authors are encouraged to review the standards available for many research applications from http://www.equator-network.org/""",1,"""he policy of The International Journal for the Psychology of Religion is to publish papers where authors indicate whether or not the conducted research was preregistered with an analysis plan""",1,"""The policy of The International Journal for the Psychology of Religion is to publish papers where authors indicate whether or not the conducted research was preregistered with an analysis plan""",0,"",3,"",2,"",13
Criminology,1745-9125,Wiley,,https://onlinelibrary.wiley.com/page/journal/17459125/homepage/forauthors.html,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
International Gambling Studies,1479-4276,Taylor and Francis,,https://tandfonline.com/action/authorSubmission?show=instructions&journalCode=rigs20,1,"",0,"Encourages data sharing, but does not require data availability statements.",0,"",0,"",0,"",0,"",0,"",0,"",0,"",2,"",3
Emerging Adulthood,2167-6984,SAGE,,https://journals.sagepub.com/author-instructions/EAX,0,"",1,"",1,"",1,"",2,"",1,"",1,"",3,"",3,"",2,"",15
Geoscience Data Journal,2049-6060,Wiley,,https://rmets.onlinelibrary.wiley.com/hub/journal/20496060/about/author-guidelines,2,"",2,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",2,"",6
Evolution and Human Behavior,1090-5138,Elsevier,,https://www.elsevier.com/journals/evolution-and-human-behavior/1090-5138/transparency-and-openness,2,"",2,"",0,"",0,"",0,"",1,"",1,"",1,"",0,"",2,"",9
Environmental Toxicology and Chemistry,1552-8618,Wiley,,https://setac.onlinelibrary.wiley.com/hub/journal/15528618/author-guidelines,0,"",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",2,"",3
Communication Research Reports,1746-4099,Taylor and Francis,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rcrr20,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",3,"",2,"",5
Communication Studies,1745-1035,Taylor and Francis,,https://tandfonline.com/action/authorSubmission?show=instructions&journalCode=rcst20,1,"",1,"",0,"",0,"",0,"",0,"",0,"",,"",0,"",2,"",4
Cognitive Science,1551-6709,Wiley,,https://onlinelibrary.wiley.com/page/journal/15516709/homepage/forauthors.html,0,"",0,"Encourages data sharing, but does not require data availability statements.",0,"",0,"",0,"",0,"",0,"",0,"",0,"",2,"",2
Clinical Psychological Science,2167-7034,SAGE,,https://www.psychologicalscience.org/publications/clinical/2016-clinical-submission-guidelines,0,"",0,"",0,"",0,"",0,"",0,"",0,"",1,"",0,"",2,"",3
Canadian Journal of Experimental Psychology,1878-7290,American Psychological Association,,https://www.apa.org/pubs/journals/cep/?tab=4,0,"",0,"",0,"",0,"",1,Encourages the use of the Journal Article Reporting Standards.,0,"",0,"",0,"",3,"",2,"",6
Brain and Neuroscience Advances,2398-2128,SAGE,,https://journals.sagepub.com/author-instructions/BNA,0,"",0,"Strongly encourages sharing, but does not require an availability statement.",0,"",0,"",1,"",0,"",0,"",0,"",3,"",2,"",6
BMJ Open Science,2398-8703,BMJ,,https://openscience.bmj.com/pages/authors/,1,"",2,"",1,Code availability is included in the data availability statement.,0,Does not mention any research materials.,1,"",3,"",3,"",3,"",3,"",2,"",19
BMC Microbiology,1471-2180,Springer Nature,,https://www.biomedcentral.com/getpublished/editorial-policies,0,"",1,"",1,"",1,"",1,"",0,"",0,"",0,"",0,"",1,"",5
Biometrical Journal,1521-4036,Wiley,,https://onlinelibrary.wiley.com/page/journal/15214036/homepage/forauthors.html,0,"",3,Submitted data and code are reviewed by a Reproducible Research Editor and checked against the reported results.,3,Submitted data and code are reviewed by a Reproducible Research Editor and checked against the reported results.,0,"",1,"",0,"",0,"",0,"",0,"",0,"",7
Asian American Journal of Psychology,1948-1993,American Psychological Association,,https://www.apa.org/pubs/journals/aap/index?tab=4,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",2,"",2
Archive for the Psychology of Religion,1573-6121,SAGE,,https://us.sagepub.com/en-us/nam/archive-for-the-psychology-of-religion/journal203533#submission-guidelines,0,"",0,"Encourages data sharing, but does not require data availability statements.",0,"",0,"",1,Points authors to APA's JARS standards,1,"",0,"",3,"",3,"",2,"",10
Annual Review of Applied Linguistics,1471-6356,Cambridge University Press,,https://www.cambridge.org/core/journals/annual-review-of-applied-linguistics/information/openscience,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",2,"",2
Analyses of Social Issues and Public Policy,1530-2415,Wiley,,https://spssi.onlinelibrary.wiley.com/hub/journal/15302415/about/author-guidelines,2,"",0,"Similar to typical Level I language, but this does not require authors to indicate data availability.",0,"",0,"",1,"",1,"",1,"",1,"",0,"",2,"",8
American Journal of Primatology,1098-2345,Wiley,,https://onlinelibrary.wiley.com/page/journal/10982345/homepage/forauthors.html,0,"",0,"Encourages data sharing, but does not require data availability statements.",0,"",0,"",1,"",0,"",0,"",0,"",0,"",2,"",3
American Journal of Political Science,1540-5907,Wiley,,https://ajps.org/guidelines-for-manuscripts/,0,"",3,"",3,"",3,"",0,"",0,"",0,"",0,"",0,"",2,"",11
American Journal of Orthopsychiatry,1939-0025,American Psychological Association,,https://www.apa.org/pubs/journals/ort/index?tab=4,0,"",0,"",0,"",0,"",1,Encourages the use of the Journal Article Reporting Standards.,0,"",0,"",0,"",0,"",2,"",3
AIS Transactions on Replication Research,2473-3458,Elsevier,,https://aisel.aisnet.org/trr/authorinfo.html,3,"",1,"",1,"",2,"",0,"",0,"",0,"",1,"",1,"",2,"",11
Addiction Research & Theory,1476-7392,Taylor and Francis,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=iart20,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",3,"",2,"",5
Proceedings of the National Academy of Sciences,1091-6490,U.S. National Academy of Sciences,,https://www.pnas.org/page/authors/journal-policies,1,"",1,"Data availability statement is required, and data must be made available to readers, but authors are only encouraged to use a repository for data sharing. For level 2, data must be publicly available to the greatest extent permitted by legal and ethical constraints.",1,"",1,"",1,"",1,"If preregistered, authors are instructed to link to the preregistration.",1,Preregistration guideline includes analysis plans.,1,"",0,"",0,"",8
